"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"2","Mikael Granlund","C","6","129.63333333333","139","119","53.88","106","88","54.64","75","60","55.56","7","9","43.75","7.47","7.55","49.74","58","53","52.25","26","20","56.52","4","3","57.14","9.33","85.00","0.943","25","26","20","72","55.56","74","39","43","63.25"
"1","Tyler Toffoli","C","6","103.63333333333","134","81","62.33","101","55","64.74","70","36","66.04","9","6","60.00","7.48","4.03","64.98","54","42","56.25","25","14","64.10","5","1","83.33","12.86","83.33","0.962","22","20","6","65","78.57","64","36","20","76.19"
"12","William Eklund","L","5","105.38333333333","123","95","56.42","91","63","59.09","63","42","60.00","6","7","46.15","6.78","6.13","52.52","51","42","54.84","21","21","50.00","3","2","60.00","9.52","83.33","0.929","20","20","10","62","66.67","52","32","20","72.22"
"4","Alexander Wennberg","C","6","105.6","121","97","55.50","83","68","54.97","53","39","57.61","2","8","20.00","5.1","5.88","46.42","49","48","50.52","18","13","58.06","1","1","50.00","3.77","79.49","0.833","16","11","18","74","47.06","49","20","34","59.04"
"8","Fabian Zetterlund","L","6","99.4","107","103","50.95","70","76","47.95","44","49","47.31","3","6","33.33","4.39","5.77","43.22","48","44","52.17","17","16","51.52","2","1","66.67","6.82","87.76","0.946","22","18","10","63","68.75","52","29","23","69.33"
"3","Barclay Goodrow","C","6","86.333333333333","84","84","50.00","57","57","50.00","34","35","49.28","1","2","33.33","3.64","4.51","44.68","35","41","46.05","11","13","45.83","0","0","-","2.94","94.29","0.972","9","13","19","73","32.14","26","19","37","41.27"
"5","Luke Kunin","C","6","90.566666666667","72","110","39.56","49","72","40.50","31","48","39.24","2","5","28.57","3.33","5.67","37.02","33","51","39.29","13","16","44.83","0","0","-","6.45","89.58","0.960","10","17","13","78","43.48","24","26","33","42.11"
"13","Will Smith","C","5","70.8","62","71","46.62","40","59","40.40","26","41","38.81","0","3","0.00","2.38","5.46","30.35","24","30","44.44","12","13","48.00","0","0","-","0.00","92.68","0.927","13","13","4","54","76.47","36","19","10","78.26"
"10","Nico Sturm","C","6","62.016666666667","45","69","39.47","33","60","35.48","24","39","38.10","1","7","12.50","2.71","4.53","37.43","21","43","32.81","10","23","30.30","1","5","16.67","4.17","82.05","0.862","0","18","21","56","0.00","5","22","26","16.13"
"9","Ty Dellandrea","C","6","75.283333333333","48","92","34.29","32","73","30.48","21","44","32.31","2","7","22.22","2.37","5.33","30.81","22","49","30.99","10","19","34.48","1","4","20.00","9.52","84.09","0.936","1","17","28","59","3.45","6","24","39","13.33"
"6","Carl Grundstrom","R","5","46.783333333333","35","54","39.33","27","41","39.71","14","23","37.84","2","3","40.00","2.1","2.33","47.41","17","28","37.78","9","12","42.86","1","2","33.33","14.29","86.96","1.012","2","14","7","38","22.22","5","15","13","27.78"
"11","Danil Gushchin","L","3","38.066666666667","30","29","50.85","21","19","52.50","16","14","53.33","1","3","25.00","1.27","0.86","59.59","12","17","41.38","7","4","63.64","1","1","50.00","6.25","78.57","0.848","2","6","8","26","20.00","8","11","11","42.11"
"7","Klim Kostin","C","4","41","33","57","36.67","20","47","29.85","11","30","26.83","0","2","0.00","0.93","4.42","17.32","14","29","32.56","3","15","16.67","0","1","0.00","0.00","93.33","0.933","9","9","4","37","69.23","13","11","8","61.90"
"14","Macklin Celebrini","C","1","17.583333333333","17","32","34.69","13","20","39.39","11","17","39.29","3","2","60.00","1.09","1.97","35.65","8","17","32.00","5","10","33.33","2","0","100.00","27.27","88.24","1.155","3","6","0","13","100.00","5","9","1","83.33"
